Year,CUURA103SEHA,Estimated_Rent_USD
1914,16.2,96.65608955718880
1915,16.2,96.65608955718880
1916,16.2,96.65608955718880
1917,16.2,96.65608955718880
1918,16.7,99.63930219784280
1919,17.700000000000000,105.60572747915100
1920,19.7,117.53857804176700
1921,21.400000000000000,127.68150101999000
1922,21.925,130.81387429267700
1923,23.1,137.8244239982140
1924,24.525,146.32658002407800
1925,24.9,148.563989504568
1926,24.9,148.563989504568
1927,24.85,148.26566824050300
1928,24.65,147.072383184241
1929,24.35,145.28245559984900
1930,23.7,141.40427916699800
1931,22.75,135.73617514975600
1932,21.35,127.38317975592500
1933,19.4,115.74865045737400
1934,18.6,110.9755102323280
1935,18.4,109.78222517606600
1936,18.38,109.66289667044000
1937,18.425000000000000,109.93138580809900
1938,18.5,110.37886770419700
1939,18.5,110.37886770419700
1940,18.5,110.37886770419700
1941,18.683333333333300,111.47271233910400
1942,19.325,115.30116856127600
1943,19.366666666666700,115.549769614664
1944,19.4,115.74865045737400
1945,19.4,115.74865045737400
1946,19.5,116.34529298550500
1947,20.400000000000000,121.71507573868200
1948,21.4,127.68150101999000
1949,22.271428571428600,132.88081447941600
1950,22.82,136.15382491944700
1951,23.7,141.4042791669990
1952,24.700000000000000,147.3707044483060
1953,24.9,148.563989504568
1954,25.7,153.3371297296140
1955,26.25,156.61866363433400
1956,28.0,167.05990787662300
1957,29.025,173.1754937899630
1958,30.225,180.33520412753300
1959,31.5,187.94239636120000
1960,32.775,195.54958859486800
1961,33.975000000000000,202.70929893243800
1962,34.75,207.33327852545100
1963,35.325,210.7639730622030
1964,36.025,214.94047075911900
1965,36.7,218.96780782400200
1966,37.8,225.5308756334410
1967,38.15,227.61912448189800
1968,39.175,233.73471039523900
1969,41.375,246.8608460141170
1970,43.925,262.0752304814520
1971,46.725,278.78122126911400
1972,49.15,293.24980257628600
1973,51.85,309.35915083581700
1974,54.425,324.7226959351850
1975,56.975,339.93708040252100
1976,59.625,355.7481073979870
1977,63.300000000000000,377.67472030679300
1978,66.45,396.46895994291300
1979,69.73333333333330,416.0587229498750
1980,75.73333333333330,451.85727463772200
1981,84.63333333333330,504.95845964136300
1982,93.53333333333340,558.0596446450040
1983,100.0,596.6425281307950
1984,105.63333333333300,630.25339054883
1985,114.21666666666700,681.4652075467230
1986,123.52857142857100,737.0239915352840
1987,131.75,786.0765308123230
1988,139.76666666666700,833.9073734841410
1989,150.025,895.1129528282260
1990,154.71666666666700,923.1054314396950
1991,155.6,928.3757737715170
1992,155.70833333333300,929.0221365103260
1993,156.70000000000000,934.9388415809560
1994,157.80000000000000,941.5019093903950
1995,162.92500000000000,972.0798389570980
1996,169.85,1013.3973340301600
1997,176.33333333333300,1052.0796579373000
1998,184.70000000000000,1101.9987494575800
1999,191.80000000000000,1144.3603689548700
2000,204.70833333333300,1221.3769752944200
2001,218.57500000000000,1304.1114058618900
2002,234.74166666666700,1400.568614576360
2003,246.20000000000000,1468.9339042580200
2004,253.42500000000000,1512.0413269154700
2005,257.175,1534.4154217203700
2006,260.925,1556.7895165252800
2007,268.12566666666700,1599.7517561675500
2008,272.4650833333330,1625.642561473680
2009,277.56683333333300,1656.0817716525900
2010,277.00891666666700,1652.7530035477300
2011,280.53725000000000,1673.804540748610
2012,287.85875000000000,1717.4877234457100
2013,294.21358333333300,1755.403361704200
2014,302.6399166666670,1805.6784499329300
2015,312.229,1862.8909991575000
2016,322.19325,1922.3419522667700
2017,333.11133333333300,1987.4838806902000
2018,349.5250833333330,2085.4152936512700
2019,360.57733333333300,2151.3577174666000
2020,371.50500000000000,2216.556824132310
2021,377.55716666666700,2252.666624339
2022,393.41225000000000,2347.2647943762400
2023,424.39025,2532.092716740600
2024,452.78808333333300,2701.526267474970
2025,467.1503333333330,2787.217558971440