,year,income,rent
16,2005,86320.0,1797.1169794435
15,2006,86406.0,1823.32165980867
14,2007,89260.0,1873.63930471964
13,2008,90019.0,1903.96277851199
12,2009,87768.0,1939.61337265946
11,2010,84706.0,1935.71469854735
10,2011,83850.0,1960.37039113983
9,2012,84810.0,2011.53240908479
8,2013,84934.0,2055.93944275784
7,2014,86682.0,2114.82194186461
6,2015,90115.0,2181.82963886328
5,2016,93010.0,2251.45896855092
4,2017,94711.0,2327.753604271
3,2018,95716.0,2442.45149022936
2,2019,100072.0,2519.68367118029
1,2020,102147.0,2596.04527441686
0,2021,100750.0,2638.33729922133